Report number:,Z489301,,,,,
Date:,3/9/2015,,,,,
Associate:,Matt Tennant,,,,,
Department ID:,576,,,,,
OrderID,ProductID,Quantity,Sales,Discount,COS,GP
11016,36,16,138.56,0,122.2099,16.3501
11017,3,25,538.25,0,486.1304,52.1196
11017,59,110,933.9,0,823.6998,110.2002
11017,70,30,952.8,0,848.3997,104.4003
11018,12,20,194.2,0,171.2844,22.9156
11018,18,10,275.6,0,243.0792,32.5208
11018,56,5,180.1,0,158.8482,21.2518
11019,46,3,34.05,0,30.0321,4.0179
11019,49,2,43.54,0,39.1742,4.3658
11020,10,24,197.064,25.704,151.1395,45.9245
11021,2,11,244.75,48.95,172.6956,72.0544
11021,20,15,1114.2,0,982.7244,131.4756
11021,26,63,1901.34,0,1676.9819,224.3581
11021,51,44,5569.85,1113.97,3930.0862,1639.7638
11021,72,35,441.35,0,389.2707,52.0793
11022,19,35,336.35,0,296.6607,39.6893
11022,69,30,62.1,0,54.7722,7.3278
11023,7,4,161.2,0,142.1784,19.0216
11023,43,30,357.3,0,315.1386,42.1614
11024,26,12,401.28,0,353.929,47.351
11024,33,30,707.4,0,623.9268,83.4732
11024,65,21,196.98,0,173.7364,23.2436
11024,71,50,1430,0,1261.26,168.74
11025,1,10,215.05,19.55,180.1711,34.8789
11025,13,20,558.8,50.8,448.056,110.744
11026,18,8,214.88,0,189.5242,25.3558
11026,51,10,929.8,0,820.0836,109.7164
11027,24,30,179.625,35.925,126.7434,52.8816
11027,62,21,754.95,150.99,589.623,165.327
11028,55,35,1286.95,0,1135.0899,151.8601
11028,59,24,207.12,0,182.6798,24.4402
11029,56,20,763.2,0,673.1424,90.0576
11029,63,12,217.68,0,191.9938,25.6862
11030,2,100,2427.5,485.5,1712.844,714.656
11030,5,70,424.2,0,413.9145,10.2855
11030,29,60,10074.75,2014.95,7108.7436,2966.0064
11030,59,100,980,196,691.488,288.512
11031,1,45,965.25,0,851.3505,113.8995
11031,13,80,2183.2,0,1925.5824,257.6176
11031,24,21,94.92,0,83.7194,11.2006
11031,64,20,648,0,628.2958,19.7042
11031,71,16,460.32,0,406.0022,54.3178
11032,36,35,261.8,0,230.9076,30.8924
11032,38,25,2139,0,1886.598,252.402
11032,59,30,233.4,0,205.8588,27.5412
11033,53,70,4261.95,387.45,3417.309,844.641
11033,69,36,85.14,7.74,72.0025,13.1375
11034,21,15,178.86,16.26,143.4132,35.4468
11034,44,12,879.48,0,775.7014,103.7786
11034,61,6,145.56,0,128.3839,17.1761
11035,1,10,195.5,0,172.431,23.069
11035,35,60,366.6,0,323.3412,43.2588
11035,42,30,399.6,0,383.087,16.513
11035,54,10,373,0,328.986,44.014
11036,13,7,175.07,0,154.4117,20.6583
11036,59,30,247.8,0,218.5596,29.2404
11037,70,4,116,0,102.312,13.688
11038,40,5,106.62,17.77,78.3657,28.2543
11038,52,2,155.22,0,136.904,18.316
11038,71,30,961.8,0,848.3076,113.4924
11039,28,20,958,0,844.956,113.044
11039,35,24,147.84,0,130.3949,17.4451
11039,49,60,1116,0,984.312,131.688
11039,57,28,575.68,0,507.7498,67.9302
11040,21,20,209.2,0,184.5144,24.6856
11041,2,30,724.32,120.72,532.3752,191.9448
11041,63,30,610.5,0,538.461,72.039
11042,44,15,1131.15,0,997.6743,133.4757
11042,61,4,114.16,0,100.6891,13.4709
11043,11,10,282.8,0,249.4296,33.3704
11044,62,12,316.8,0,279.4176,37.3824
11045,33,15,375.3,0,331.0146,44.2854
11045,51,24,2461.2,0,2170.7784,290.4216
11046,12,20,195.72,9.32,164.4048,31.3152
11046,32,15,328.3875,15.6375,275.8455,52.542
11046,35,18,119.259,5.679,100.1776,19.0814
11047,1,25,603.4375,120.6875,425.7855,177.652
11047,5,30,223.5,44.7,157.7016,65.7984
11048,68,42,483.84,0,426.7469,57.0931
11049,2,10,224.4,37.4,164.934,59.466
11049,12,4,44.256,7.376,32.5282,11.7278
11050,76,50,21109.55,1919.05,16926.021,4183.529
11051,24,10,49.68,8.28,36.5148,13.1652
11052,43,30,429.12,71.52,315.4032,113.7168
11052,61,10,335.04,55.84,251.5801,83.4599
11053,18,35,1068.9,178.15,842.832,226.068
11053,32,20,411.2,0,392.0924,19.1076
11053,64,25,1084.2,180.7,796.887,287.313
11054,33,10,238.4,0,210.2688,28.1312
11054,67,20,1090.6,0,961.9092,128.6908
11055,24,15,67.35,0,59.4027,7.9473
11055,25,15,189.3,0,166.9626,22.3374
11055,51,20,1941.6,0,1712.4912,229.1088
11055,57,20,387.4,0,341.6868,45.7132
11056,7,40,1686,0,1487.052,198.948
